Day,SessionCode,SessionTitle,Room,PaperTime,PaperTitle,Authors
"Monday, Nov 3",M1-RBA,Computing Undergraduate 1: Introductory Levels,Riverbed A,8:00,Scaffolding the Problem-Solving Process for Introductory Computing Students,"Ashish Deepak Dandekar (National University of Singapore, Singapore); Nitya Lakshmanan (NUS, Singapore); Daren Ler, Adi Yoga Sidi Prabawa and Sanka Rasnayaka (National University of Singapore, Singapore)"
"Monday, Nov 3",M1-RBA,Computing Undergraduate 1: Introductory Levels,Riverbed A,8:15,WIP: Exploratory Analysis of Code Quality Issues in CS1,"Isabela Vieira Rodrigues and Igor dos Santos Montagner (Insper, Brazil)"
"Monday, Nov 3",M1-RBA,Computing Undergraduate 1: Introductory Levels,Riverbed A,8:30,ILDBug: a New Approach to Teaching Debugging,"Liia Butler and Charlotte Kiesel (University of Illinois Urbana-Champaign, USA); Dipayan Mukherjee (University of Illinois, Urbana- Champaign, USA); Mohammed Hassan and Mattox Beckman (University of Illinois Urbana-Champaign, USA); Geoffrey L Herman (University of Illinois at Urbana-Champaign, USA)"
"Monday, Nov 3",M1-RBA,Computing Undergraduate 1: Introductory Levels,Riverbed A,8:45,Microcontroller Hands-on Lesson Plan and Analysis for Logic Gates in Computer Science 1,"Brandon Outterson (Katy ISD, USA); Sheng-Jen Hsieh (Texas A&M University, USA)"
"Monday, Nov 3",M1-RBA,Computing Undergraduate 1: Introductory Levels,Riverbed A,9:00,Exploring Traces from Algorithm Simulation: Students' Conceptions of Dijkstra's Algorithm,"Artturi Tilanterä (Aalto University, Finland); Ari Korhonen (Aalto University School of Science, Finland); Otto Seppälä, Teemu Taivainen and Inka L. K. Croell (Aalto University, Finland)"
"Monday, Nov 3",M1-RBA,Computing Undergraduate 1: Introductory Levels,Riverbed A,9:15,Tracing Code Quality Evolution: Insights from a Data Structures and Algorithms Course,"Devanshi Prajapati and Ruben Acuña (Arizona State University, USA) 8:00 - 9:30"
"Monday, Nov 3",M1-RBC,Gen AI 1: Assessment Design in Undergraduate Courses,Riverbed C,8:00,STEM Faculty Perspectives: Assessment Design in the Era of Generative AI,"Ahmed Ashraf Butt (The University of Oklahoma, USA); Syed Ali Kamal (University at Buffalo, USA); Rabia Ashraf (Forman Christian College, Pakistan)"
"Monday, Nov 3",M1-RBC,Gen AI 1: Assessment Design in Undergraduate Courses,Riverbed C,8:15,Designing CS Assignments to Foster Cogitation in the AI Era,"Jaya Veera Surendra Gupta Kurivella, Rajeshwari Deoraj and Marcia Moraes (Colorado State University, USA)"
"Monday, Nov 3",M1-RBC,Gen AI 1: Assessment Design in Undergraduate Courses,Riverbed C,8:30,WIP - Developing a Rubric for GenAI Information Literacy in Programming,"Makenzie Yates, Kristina Bloch, Angela Thompson, Elisabeth L Thomas, Gabriel Gatsos and Udit Kumar Das (University of Louisville, USA); Campbell R. Bego (University of Louisville & J. B. Speed School of Engineering, USA)"
"Monday, Nov 3",M1-RBC,Gen AI 1: Assessment Design in Undergraduate Courses,Riverbed C,8:45,Can LLMs Be Fair Graders? Only If You Bribe Them with the Right Rubric,"Samuel B Mazzone, Jack R Forden and Dennis Brylow (Marquette University, USA)"
"Monday, Nov 3",M1-RBC,Gen AI 1: Assessment Design in Undergraduate Courses,Riverbed C,9:00,Optimizing Diary Studies Learning Outcomes With Fine-Tuned Large Language Models on the DiaryQuest Platform,"Sunggyeol Oh, Jiacheng Zhao, Carson Russo, Michael Bolmer Jr and Jihoo Jeong (Virginia Tech, USA); Jixiang Fan, Yusheng Cao and Wei Lu Wang (Virginia Polytechnic Institute and State University, USA); Natalie Andrus and Scott McCrickard (Virginia Tech, USA)"
"Monday, Nov 3",M1-RBC,Gen AI 1: Assessment Design in Undergraduate Courses,Riverbed C,9:15,Classification of Kinematics Problems Using Artificial Intelligence for Design Tests in Physics Education in Engineering,"José Alfonso Catana Castellanos (Instituto Politécnico Nacional); Erika Cervantes Juárez, Daniel Sánchez Guzmán, Sr and Graciela Martínez Gallegos (Instituto Politécnico Nacional, Mexico) 8:00 - 9:30"
"Monday, Nov 3",M1-RBD,"Informal Learning Environments 1: Supporting Student Engagement, Motivation, and Research",Riverbed D,8:00,An AI-Enhanced Systematic Review of Barriers to Student Engagement in Innovation Ecosystems,"Sadan Kulturel-Konak, Abdullah Konak and Ada Leung (Penn State Berks, USA)"
"Monday, Nov 3",M1-RBD,"Informal Learning Environments 1: Supporting Student Engagement, Motivation, and Research",Riverbed D,8:15,WIP: Understanding Student Motivations in Innovation Ecosystems,"Abdullah Konak and Sadan Kulturel-Konak (Penn State Berks, USA)"
"Monday, Nov 3",M1-RBD,"Informal Learning Environments 1: Supporting Student Engagement, Motivation, and Research",Riverbed D,8:30,Conversations over Clicks: Impact of Chatbots on Information Search in Interdisciplinary Learning,"Hannah Kim, Sergei L. Kosakovsky Pond and Stephen MacNeil (Temple University, USA) 26"
"Monday, Nov 3",M1-RBD,"Informal Learning Environments 1: Supporting Student Engagement, Motivation, and Research",Riverbed D,8:45,Navigating Multi-Semester Service-Learning in Software Engineering: Strategies for Success,"Chad A Williams and Stan Kurkovsky (Central Connecticut State University, USA); Mikey Goldweber (Denison University, USA); Nathan Sommer (Xavier Univerity, USA)"
